티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
006805,0,14075750,0,208321100000.0,0.0,KOSPI
081660,38197,53091840,1516420900,2107746048000.0,0.07,KOSPI
002840,8762,4750000,1016392000,551000000000.0,0.18,KOSPI
268280,2222,5000000,212201000,477500000000.0,0.04,KOSPI
107590,3699,2320000,208993500,131080000000.0,0.16,KOSPI
134380,9995,21992680,102648650,225864823600.0,0.05,KOSPI
003650,1598,1739672,191120800,208064771200.0,0.09,KOSPI
377740,0,101886048,0,473770123200.0,0.0,KOSPI
003610,0,36202158,0,186441113700.0,0.0,KOSPI
035150,107249,20028841,1131476950,211304272550.0,0.54,KOSPI
002410,0,27479820,0,53173451700.0,0.0,KOSPI
007210,474185,65360000,749212300,103268800000.0,0.73,KOSPI
002760,1004310,59900000,940034160,56066400000.0,1.68,KOSPI
003850,118573,85787207,988898820,715465306380.0,0.14,KOSPI
000890,93331,27624025,118903694,35193007850.0,0.34,KOSPI
003000,0,98664671,0,416858234975.0,0.0,KOSPI
001270,33072,10369886,1987627200,623230148600.0,0.32,KOSPI
001275,0,3000000,0,93300000000.0,0.0,KOSPI
026940,0,20000000,0,38220000000.0,0.0,KOSPI
011390,2262,1056000,103260300,48206400000.0,0.21,KOSPI
005030,0,92782988,0,45092532168.0,0.0,KOSPI
006740,0,4747965,0,26351205750.0,0.0,KOSPI
002070,0,2404344,0,16301452320.0,0.0,KOSPI
100220,0,12996741,0,69922466580.0,0.0,KOSPI
090460,27192,33711538,738262800,915268256700.0,0.08,KOSPI
005180,136385,9269031,9301457000,632147914200.0,1.47,KOSPI
003960,54239,9164467,1412925950,238734365350.0,0.59,KOSPI
008040,589114,141144600,541984880,129853032000.0,0.42,KOSPI
007160,8682,5000000,377667000,217500000000.0,0.17,KOSPI
014710,26162,17218543,193598800,127417218200.0,0.15,KOSPI
006090,27378,9422739,223404480,76889550240.0,0.29,KOSPI
062040,30538,30615850,6871050000,6888566250000.0,0.1,KOSPI
005610,20700,8629009,840420000,350337765400.0,0.24,KOSPI
001470,0,229681824,0,79699592928.0,0.0,KOSPI
028050,551880,196000000,25634826000,9104200000000.0,0.28,KOSPI
448730,0,91050000,0,444324000000.0,0.0,KOSPI
